sim_time,arrived_num,sys_tyre_pm,sys_stopped,sys_total_wait,sys_avg_wait,sys_avg_speed
366.0,2,23.658545046488648,40,1890.0,26.619718309859156,4.767206790748432
367.0,1,27.014195739134543,40,1930.0,27.571428571428573,4.799783333154881
368.0,1,26.950479206621218,40,1970.0,28.55072463768116,4.891520147910121
369.0,1,22.645799067769794,40,2010.0,29.558823529411764,4.747439703946405
370.0,0,21.920142507825553,40,2050.0,30.147058823529413,4.599077031086948
371.0,1,32.66571709080965,40,2090.0,31.19402985074627,4.219510492751107
372.0,0,29.185451723209354,41,2131.0,30.884057971014492,4.2509642725286225
373.0,3,21.574780627318855,41,2172.0,31.941176470588236,3.904972512324589
374.0,1,18.649878867631678,43,2215.0,33.059701492537314,3.72899631630599
375.0,0,13.696927121545034,43,2258.0,33.701492537313435,3.7698727025298515
376.0,1,15.493394541230021,45,2303.0,34.89393939393939,3.808418942514647
377.0,1,11.225707640344385,46,2349.0,36.13846153846154,3.724725844097721
378.0,1,7.587256843589419,46,2395.0,37.421875,3.5703965031524296
